bairro,Com_Autodeclaração,Sem_Autodeclaração,Com_Ensino,Sem_Ensino,Com_Renda,Sem_Renda
Abolição,1,0,1,0,1,0
Acari,1,0,1,0,0,1
Água Santa,0,1,0,1,0,1
Alcântara,1,0,0,1,0,1
Alto da Boa Vista,0,1,0,1,0,1
Anchieta,3,3,4,2,4,2
Andaraí,2,5,4,3,3,4
Andrade de Araújo,0,1,0,1,0,1
Anil,4,1,2,3,4,1
Anil - Jacarepaguá,1,1,1,1,1,1
Areia Branca,1,1,0,2,0,2
Augusto Vasconcelos,1,0,1,0,1,0
Austin,1,3,2,2,2,2
Bangu,14,13,19,8,13,14
Barra da Tijuca,0,2,1,1,0,2
Barreto,0,2,0,2,0,2
Barro Vermelho,1,0,0,1,0,1
Bela Vista,1,0,1,0,0,1
Benfica,3,2,3,2,4,1
Bento Ribeiro,4,3,1,6,2,5
Boa Esperança,1,2,1,2,0,3
Boa Vista,1,0,0,1,0,1
Bom Pastor,0,1,1,0,0,1
Bonsucesso,2,4,5,1,5,1
Botafogo,3,4,4,3,3,4
Brás de Pina,8,2,7,3,4,6
Brasilândia,1,0,0,1,0,1
Cabuis,0,2,0,2,2,0
Cachambi,5,14,4,15,2,17
Cacuia,0,1,1,0,0,1
Caju,1,0,0,1,0,1
Cajueiros,1,0,0,1,0,1
Camboinhas,0,1,0,1,0,1
Camorim - Jacarepaguá,0,1,0,1,0,1
Campo dos Afonsos,1,0,0,1,0,1
Campo Grande,15,25,20,20,17,23
Campo Verde,0,1,1,0,1,0
Campos Eliseos,1,0,1,0,0,1
Camurim,0,1,0,1,0,1
Carolina,0,1,0,1,1,0
Cascadura,3,2,1,4,2,3
Catete,2,2,1,3,1,3
Catiri - Bangu,1,0,0,1,0,1
Catumbi,1,1,1,1,1,1
Cavalcanti,0,1,0,1,0,1
Centenário,1,0,1,0,0,1
Centro,8,12,3,17,6,14
Centro - Japeri,1,0,1,0,0,1
Chatuba,1,0,0,1,0,1
Cidade Nova,2,0,1,1,1,1
Coelho da Rocha,1,0,0,1,1,0
Coelho Neto,6,1,6,1,2,5
Colégio,3,2,5,0,3,2
Colubandê,0,1,0,1,0,1
Copacabana,8,3,6,5,5,6
Cordovil,4,3,4,3,4,3
Cosmo,1,0,1,0,1,0
Cosmos,1,3,2,2,2,2
Costa Barros,2,0,2,0,1,1
Cruzeiro do Sul,0,1,1,0,0,1
Curicica,3,5,4,4,5,3
Del Castilho,0,4,3,1,3,1
Deodoro,1,0,1,0,1,0
Doutor Laureano,0,3,0,3,2,1
Éden,1,0,0,1,0,1
Edson Passos,0,2,1,1,1,1
Encantado,2,1,2,1,1,2
Engenheiro Belford,0,1,0,1,0,1
Engenheiro Leal,1,0,1,0,0,1
Engenho da Rainha,0,2,1,1,2,0
Engenho de Dentro,9,6,7,8,3,12
Engenho do Mato,0,1,0,1,0,1
Engenho Novo,4,5,5,4,3,6
Engenho Pequeno,1,0,0,1,0,1
Engenhoca,1,1,0,2,1,1
Estácio,1,0,0,1,1,0
Estrela do Norte,0,1,0,1,0,1
Figueira,1,0,1,0,0,1
Flamengo,3,8,2,9,2,9
Fonseca,1,3,2,2,0,4
Freguesia,4,1,2,3,1,4
Freguesia - Ilha do Governador,0,2,0,2,0,2
Freguesia - Jacarepaguá,3,3,3,3,1,5
Galeão,4,2,5,1,4,2
Gardênia Azul,1,0,1,0,0,1
Gávea,1,2,2,1,1,2
Glória,1,2,1,2,1,2
Gradim,1,0,0,1,0,1
Grajaú,1,10,5,6,4,7
Guadalupe,5,2,5,2,5,2
Guarajuba,1,0,1,0,1,0
Guaratiba,3,1,3,1,1,3
Higienópolis,2,2,3,1,2,2
Honório Gurgel,4,1,4,1,2,3
Icaraí,0,3,1,2,0,3
Ilha do Governador,4,6,5,5,1,9
Ingá,0,1,0,1,0,1
Inhaúma,6,3,7,2,9,0
Inhoaíba,1,3,3,1,3,1
Irajá,9,20,13,16,11,18
Itaipu,2,0,0,2,0,2
Itanhangá,4,4,7,1,1,7
Jacaré,1,0,0,1,1,0
Jacarepaguá,10,15,12,13,7,18
Jacarezinho,1,0,1,0,1,0
Jacaroa,0,1,1,0,1,0
Jardim 25 de Agosto,2,1,1,2,1,2
Jardim América,2,6,8,0,6,2
Jardim Atlântico Oeste,0,1,0,1,0,1
Jardim Bangu,0,1,0,1,0,1
Jardim Bom Pastor,1,1,2,0,1,1
Jardim Botânico,0,2,0,2,1,1
Jardim Carioca,1,2,1,2,0,3
Jardim Carioca Ilha do Governador,0,1,0,1,0,1
Jardim Cristina,1,0,1,0,1,0
Jardim Glaucia,0,1,0,1,0,1
Jardim Gramacho,1,0,0,1,1,0
Jardim Guanabara,0,4,0,4,1,3
Jardim Guanabara - Ilha,0,1,0,1,0,1
Jardim Guaratiba,1,0,1,0,1,0
Jardim Maravilha- Guaratiba,1,0,0,1,1,0
Jardim Meriti,0,1,0,1,0,1
Jardim Nova Califórnia,0,1,0,1,0,1
Jardim Novo - Realengo,1,0,1,0,1,0
Jardim Paraíso,0,1,0,1,0,1
Jardim Primavera,3,1,2,2,1,3
Jardim Redentor,2,0,0,2,1,1
Jardim Sulacap,2,2,1,3,0,4
Km 32,0,1,1,0,1,0
Lapa,0,1,0,1,1,0
Laranjal,0,1,1,0,0,1
Laranjeiras,2,6,2,6,1,7
Leme,1,0,1,0,0,1
Lins de Vasconcelos,4,1,4,1,1,4
Lote XV,0,2,0,2,0,2
Madureira,1,5,2,4,1,5
Magalhães Bastos,1,2,3,0,1,2
Malhapão,0,1,0,1,1,0
Mangueira,2,0,2,0,1,1
Manguinhos,2,0,2,0,2,0
Maracanã,2,7,2,7,0,9
Maré,4,1,4,1,2,3
Marechal Hermes,2,1,3,0,2,1
Maria da Graça,0,2,1,1,1,1
Maria Paula,1,1,0,2,0,2
Marques,0,1,0,1,0,1
Marquês de Maricá,0,1,0,1,0,1
Méier,0,11,4,7,4,7
Monero,0,1,1,0,0,1
Mundel,0,1,1,0,1,0
Neves,0,1,1,0,1,0
Nossa Senhora do Carmo,1,0,1,0,1,0
Nova Cidade,1,0,0,1,0,1
Olaria,1,6,4,3,2,5
Oliveira,1,0,0,1,0,1
Oswaldo Cruz,2,5,2,5,2,5
Pacheco,1,0,0,1,1,0
Paciência,2,2,3,1,2,2
Padre Miguel,6,6,7,5,9,3
Parada de Lucas,4,1,4,1,1,4
Parque Alian,1,0,0,1,1,0
Parque Amorin,1,0,1,0,1,0
Parque Analândia,0,1,0,1,0,1
Parque Anchieta,4,0,3,1,1,3
Parque Beira Mar,0,1,0,1,0,1
Parque Centenário,0,1,1,0,1,0
Parque Fluminense,0,1,0,1,1,0
Parque Paraíso,1,0,1,0,0,1
Parque Pauliceia,0,1,0,1,0,1
Parque Senhor do Bonfim,0,1,0,1,0,1
Pauliceia,0,1,0,1,0,1
Pavuna,6,6,7,5,5,7
Pechincha,5,9,4,10,3,11
Pedra de Guaratiba,1,1,2,0,1,1
Pendotiba,1,0,0,1,0,1
Penha,2,4,1,5,2,4
Penha Circular,2,9,2,9,2,9
Piabetá,0,1,1,0,1,0
Piedade,4,3,3,4,1,6
Pilar,1,0,0,1,0,1
Pilares,2,4,2,4,1,5
Piratininga,0,1,0,1,0,1
Pita,0,1,0,1,1,0
Ponta D Areia,1,2,1,2,0,3
Porto da Pedra,0,1,0,1,0,1
Porto da Roça,0,1,1,0,0,1
Porto Novo,1,0,0,1,0,1
Portuguesa,0,3,3,0,1,2
Praça da Bandeira,0,1,0,1,0,1
Praça Seca,9,5,5,9,2,12
Praça Seca - Jacarepaguá,0,1,0,1,0,1
Praia Da Luz,0,1,1,0,1,0
Quintino Bocaiúva,5,2,7,0,4,3
Ramos,10,7,13,4,10,7
Realengo,8,7,9,6,9,6
Recreio,0,1,1,0,1,0
Recreio dos Bandeirantes,4,3,3,4,2,5
Riachuelo,1,3,3,1,3,1
Ribeira,0,1,1,0,0,1
Ricardo de Albuquerque,1,1,1,1,0,2
Rio Comprido,1,4,4,1,1,4
Rio das Pedras,1,2,3,0,2,1
Rio do Ouro,1,1,1,1,1,1
Rio Várzea,0,1,1,0,0,1
Rocha,3,0,2,1,2,1
Rocha Miranda,4,2,4,2,6,0
Rocha Sobrinho,1,0,0,1,0,1
Rocinha,4,3,6,1,5,2
Sabugo,0,1,0,1,0,1
Saco,0,1,0,1,0,1
Sampaio,1,0,0,1,0,1
Santa Cruz,5,4,7,2,1,8
Santa Cruz da Serra,0,1,0,1,1,0
Santa Maria - Jacarepaguá,1,0,1,0,0,1
Santa Rosa,1,2,0,3,0,3
Santa Teresa,2,5,2,5,4,3
Santíssimo,3,3,5,1,2,4
Santo Antonio - Piratininga,0,1,0,1,0,1
Santo Cristo,0,1,0,1,0,1
São Bernardo,1,0,1,0,0,1
São Cristovão,5,6,5,6,5,6
São Francisco Xavier,0,1,0,1,0,1
São João de Meriti,1,0,0,1,0,1
São Joaquim,1,0,1,0,1,0
São Mateus,0,1,0,1,1,0
São Matheus,1,1,1,1,1,1
São Miguel,0,1,0,1,0,1
Saracuruna,1,2,0,3,1,2
Senador Camará,5,3,6,2,4,4
Senador Vasconcelos,0,2,2,0,1,1
Sepetiba,1,1,1,1,0,2
Sulacap,0,1,1,0,0,1
Tanque,2,3,2,3,2,3
Taquara,13,17,18,12,7,23
Taquara - Jacarepaguá,3,4,5,2,5,2
Tauá,2,3,1,4,1,4
Tenente Jardim,0,1,0,1,0,1
Tijuca,9,21,11,19,4,26
Todos Os Santos,3,9,4,8,3,9
Tomás Coelho,3,0,2,1,1,2
Tomazinho,1,2,0,3,0,3
Trindade,0,2,0,2,1,1
Turiaçu,1,0,0,1,1,0
Vargem Grande,0,2,2,0,1,1
Vargem Pequena,0,1,0,1,0,1
Várzea,0,1,0,1,1,0
Vaz Lobo,2,2,2,2,2,2
Venda Velha,1,0,1,0,1,0
Vicente de Carvalho,0,6,1,5,1,5
Vidigal,1,1,0,2,1,1
Vigário Geral,3,2,4,1,2,3
Vila Americana,0,1,0,1,0,1
Vila Columbia,1,0,0,1,0,1
Vila da Penha,1,8,2,7,3,6
Vila do João,0,1,1,0,1,0
Vila Entre Rios,0,1,0,1,0,1
Vila Guanabara,1,0,0,1,0,1
Vila Heliopolis,0,1,1,0,1,0
Vila Isabel,1,15,8,8,3,13
Vila Kosmos,2,1,2,1,1,2
Vila Maria Helena,0,1,0,1,0,1
Vila Paula,0,1,0,1,0,1
Vila Rosário,1,0,0,1,0,1
Vila Santo Antônio,1,0,0,1,1,0
Vila São João,0,2,2,0,2,0
Vila São Luiz,1,1,1,1,2,0
Vila Tiradentes,0,1,0,1,0,1
Vila Valqueire,1,8,4,5,1,8
Vila Zenith,1,0,1,0,1,0
Vila Zulmira,1,0,1,0,1,0
Vista Alegre,1,6,3,4,1,6
Wona,1,0,0,1,0,1
Xerém,1,0,1,0,0,1